标题,作者,来源,发表时间,链接,摘要,爬取时间
云开霾散：“区域—目标”双协同下的大气污染治理研究,向仙虹,技术经济与管理研究,2025-10-20,https://kns.cnki.net/kcms2/article/abstract?v=-NKfxA6wmaExqwEhJWgPrNH_tOqtyKDIdtg0NNLMG8sCwbRUtEMFpbVM5r8fmy8pTLbPsUfGcDwqMnwsFpir1Q1DIT3pbhyOSi-THcuxURXZh4CKPQeGbeP_VRc-3adGZC1GbeCeGyRT2y5nCNz1GarOm9EzKecrbUKfOZ2L53X21C8ySFJOkg==&uniplatform=NZKPT&language=CHS,继续打赢“蓝天保卫战”，实现减污降碳与区域联防联控是当前亟须攻关的难点。选取2010—2022年我国279个地级及以上城市面板数据，以“蓝天保卫战”系列政策为准自然实验，检验政策的目标和区域双协同效应与作用机制。结果显示：“蓝天保卫战”政策不仅能显著提高重点监控城市的减污降碳，实现目标协同治理；还存在明显的政策空间溢出效应，对邻近非重点监控城市的政策红利溢出效应略大于重点监控试点城市，实现以点带面的政策红利扩散的区域协同，但这种政策溢出具有距离衰减特征。从传导路径看，该政策通过创新效应、规模效应和结构效应实现双目标协同治理。研究结论为“蓝天保卫战”助力提高城市空气治理提供了可靠的经验借鉴。,2025-11-03 14:10:29
绿色金融政策与减污降碳：影响机制及空间溢出效应,聂蕊;孙慧,技术经济与管理研究,2025-10-20,https://kns.cnki.net/kcms2/article/abstract?v=-NKfxA6wmaGdqpMqkXXkSoXjUKO7k3U5mcku3SoTw_SJIJXaUAHCiaSyutw7BQy_MZ2kJJQPAcksdw_at_M6J33VYnqclTKVIcDxYDeePjUM68WjEsjFIRnCRmlNMFm1H7qK_F5JVgehn1qb0wcfMfxebUL7Wc6oduCOWfpENX2rIFRkEiuy6Q==&uniplatform=NZKPT&language=CHS,在新发展格局下，绿色金融作为环境治理的金融力量，对“双碳”目标的实现具有重要推动作用。选取2008—2022年我国278个地级及以上城市面板数据，探讨绿色金融试点政策对城市减污降碳影响的作用机理与空间效应。研究发现，绿色金融试点政策有助于推进城市减污降碳协同治理，该结论经稳健性检验后仍成立。机制检验表明，推动绿色创新、优化产业结构等路径是绿色金融改革创新试验区实现减污降碳协同效应的重要举措。异质性分析显示，绿色金融改革创新试验区设立带来的减污降碳协同效应，在非资源型城市、主导产业为第三产业的城市及金融发展水平较高的城市中更为显著。空间效应分析表明，绿色金融试点政策具有显著的空间溢出特征，对周边地区城市产生了政策溢出效应。,2025-11-03 14:10:43
中国绿色转型绩效差异的多维分解与驱动机制——基于“降碳-减污-扩绿-增长”评估框架的再审视,袁晓玲;黄涛;李冬,干旱区资源与环境,2025-10-17,https://kns.cnki.net/kcms2/article/abstract?v=-NKfxA6wmaGdqpMqkXXkSoXjUKO7k3U5mcku3SoTw_RYpHZS-15xJnM63_7MLhiBfIyZVYuSeQihOQJiP49fkTTwtM4D1gx_JeRd5RXHN3U46Sl7jOuIwndKC8aZPXu4tUwKIle9HX-KfL2uJaaPcR_nSRGAO-yIoJCoEuC_U4fg1nalTueuJg==&uniplatform=NZKPT&language=CHS,基于“降碳-减污-扩绿-增长”评估框架，运用熵值法测度中国绿色转型绩效，结合基尼系数双维分解和最优参数地理探测器方法考察其差异的来源构成与驱动机制。研究发现：1)中国绿色转型绩效稳步上升，在东西、南北方向上分别呈现“东高西低”与倒“U”形特征，分布重心向东北方向移动。2)中国绿色转型绩效的总体差异呈现下降趋势。从单一维度看，区域间差异是总体差异的主要空间来源，扩绿差异则为主要结构来源。从双重维度看，东部-西部间的降碳差异与扩绿差异先后成为总体差异的主要来源。3)增长、扩绿、减污、降碳等内源因素对中国绿色转型绩效差异的影响程度依次减弱，环境规制、数字经济、产业结构、城镇化、人力资本、对外开放和绿色金融等外源因素均对绩效差异具有重要驱动作用，所有主导交互组合均为双因子增强类型。,2025-11-03 14:10:56
国家生态工业示范园区对城市减污降碳的影响研究,李德山;刘嘉豪,开发研究,2025-10-16 14:57,https://kns.cnki.net/kcms2/article/abstract?v=-NKfxA6wmaGdqpMqkXXkSoXjUKO7k3U52oumgj0KZ0Ls5ZL8w9n_SECJx9dKvmHtOCGKhnaZnwUv8xhWsEThWoQ-l5OmQcJOsf3GgBKaGdudQeBiymoa4QQjBqfBjentJsqXQvtYXsGpQvgOyr_tFKkkpVeZnBkeXQvWFlRlTk3N5YNC7G4nGg==&uniplatform=NZKPT&language=CHS,国家生态工业示范园区是绿色低碳理念与现代工业融合的关键载体，是城市实现减污降碳目标的关键抓手。基于2006—2022年284个地级市的面板数据，通过多期双重差分模型评估了国家生态工业示范园区对城市减污降碳的影响。研究发现，国家生态工业示范园区建设显著降低了城市污染物和碳排放水平，即对城市有显著的减污降碳效应，且经过一系列稳健性检验后结论依然成立。机制分析发现，国家生态工业示范园区通过推动绿色技术创新、促进产业结构优化及提高能源利用效率促进城市减污降碳。此外，国家生态工业示范园区对城市的减污降碳效应因地区经济发展水平、资源禀赋、工业基础的差异而具有显著异质性，在经济发达城市、非资源型城市和非老工业基地城市，其减污降碳效应更为显著。国家生态工业示范园区是推动传统工业绿色转型的重要支撑，为城市可持续发展提供了政策启示。,2025-11-03 14:11:11
全生命周期视角下乡镇污水处理系统减污降碳协同增效的路径探索,夏天虹;向发椿;任焱,科技与创新,2025-10-15,https://kns.cnki.net/kcms2/article/abstract?v=-NKfxA6wmaGl5pF7-dG_WIw2ycOGjUjXyo28T5P18vGMS_RwC6xqBSl3RI1vAf7JT8M4F1oN2qL7bGDmqj628JVp5u8bID20U7HYcLkfrf32LtkwSoDb8JrAJDxi88G8l_3QkHbM-MtJlgI1SBq3YakmbY9h93Pwqqlfuxw9I7X1EAgJ1Qcjww==&uniplatform=NZKPT&language=CHS,围绕“双碳”目标，聚焦乡镇污水处理系统的减污降碳协同增效问题，分析了乡镇污水处理系统的组成、特点及其全生命周期的碳排放核算体系，明确核算边界、内容和方法。从多方联动协同、秉持低碳环保理念推进绿色施工、技术引领创新降低直接碳排放、聚焦设备优化降低间接排放、强化碳减排措施推广低碳技术等方面，提出全生命周期统筹考虑下的乡镇污水处理系统减污降碳协同增效策略，以期为乡镇污水处理系统实现绿色可持续发展提供参考。,2025-11-03 14:11:24
工业用地扩张对减污降碳协同的影响及空间溢出效应:以中国七大城市群为例,王娜娜;张博伦;郑伟伟;邢培学;塔勒哈尔·库尔曼别克,环境科学,2025-10-14 10:20,https://kns.cnki.net/kcms2/article/abstract?v=-NKfxA6wmaGl5pF7-dG_WIw2ycOGjUjXHf_cyQ2pO_E_IDqVyusaEa1L8fE1PYjKIZPHpiMVtdQiWyDo0Squw-phtRFnuOm8whd0bPYI7gCh8keuTNVlPDX3LIkoo5N28G-dZLr7fT0KBP9xR8n2eQWlFnDgt3t8jBQUromGrplD0eY_1AAdrg==&uniplatform=NZKPT&language=CHS,工业化进程与生态环境保护之间的矛盾是当前推进减污降碳协同治理面临的重大挑战，城市群作为社会经济活动高度聚集区域，探讨不同城市群的工业用地扩张对减污降碳协同的影响，为提高城市群土地利用效率和制定减污降碳策略提供参考。基于2008～2022年中国7个城市群130个地级市面板数据，借助时空地理加权回归模型和空间滞后模型探究工业用地扩张对减污降碳协同的时空影响及空间溢出效应。结果表明：①城市群工业用地扩张程度呈“先增后减再增”的波动增长趋势。长三角城市群扩张幅度最大，北部湾城市群扩张幅度最小。②城市群减污降碳协同水平总体呈提升趋势，2017年之前各城市群减污降碳协同以负值为主，2017年及以后各城市群先后趋于减污降碳协同。③工业用地扩张对减污降碳协同的负影响呈逐渐减弱趋势。京津冀城市群的抑制作用最强，珠三角城市群和北部湾城市群的抑制作用最弱。④工业用地扩张对减污降碳协同的影响存在显著的负向空间溢出效应，工业用地扩张程度越大的城市群空间溢出效应越明显。因此，重视工业用地扩张对减污降碳协同的抑制作用，可为推进减污降碳协同治理进程提出针对性建议。,2025-11-03 14:11:38
碳排放权交易试点政策的减污降碳效应、区域差异及作用机制,谢黎智;陈军,统计与决策,2025-10-13 17:01,https://kns.cnki.net/kcms2/article/abstract?v=-NKfxA6wmaE1A6FBZB7RfBZ5VOqKkKr1OoXBTTBS_iyVkxdTrRl8xljbfdFkFe3IRkB0whWesmxiC0FvQDemQYfmz_FRJbkcecUvuUTZqMNWjKfszZwgYFL2C0FaaR_qaKQ6DaukBxNkxKu3XRtbmLLBKPK993GRVP-wEjHMuAJyZCIphbzZPg==&uniplatform=NZKPT&language=CHS,文章采用合成双重差分法，将多种污染物参数纳入模型，评估碳排放权交易试点政策在减污降碳方面的作用，并基于2008—2022年我国30个省份的面板数据进行实证分析。研究发现：碳排放权交易试点政策的实施不仅促进了二氧化碳等主要污染物的减排，还有效促进了地区内其他多种污染物的协同减排，其中，二氧化硫和工业烟（粉）尘等典型大气污染物的减排效果尤为显著。市场作用是影响减排效果的关键因素，同时政府干预力度表现出“加速器”的功能，东部地区的减排效果最为突出。为此，应在加大政府环保投入力度的基础上，着重提升碳排放权交易市场的活跃度，以达到最佳减排效果。,2025-11-03 14:11:52
双碳愿景下山西省减污降碳协同效应评估及情景预测,王行健;张红;张霄羽;苏超;陈文磊,环境科学,2025-10-13 16:53,https://kns.cnki.net/kcms2/article/abstract?v=-NKfxA6wmaE1A6FBZB7RfBZ5VOqKkKr1G9pVVM73fcN5A62MGrMzoR6jpJQL_9Xbs1tuWE0chIPu8UnjW-tlrol64hUi_6RfduxBk41xbPtnTb-9tETQ3JiNTeAGY6sNpbvJGonO5SU4eUlTSrojYvMLnSEP-5rUg0mLGfz-DJFgoMBxn276zg==&uniplatform=NZKPT&language=CHS,山西省作为典型资源型省份和重要能源基地，正面临高碳排放和空气污染问题，亟需推动减污降碳协同治理。基于低排放分析平台（LEAP）以能源消费为边界建模，以2020年为基准年，预测2021～2060年3种情景（基准、低碳和中和情景）下的能源消费、温室气体与大气污染物排放量，并将2021～2023年预测CO2排放量与实际能源消费CO2排放量进行交叉验证以验证模型精度，在此基础上使用脱钩分析法、减污降碳协同弹性系数和LMDI模型量化评估协同效应及驱动机制。结果表明，基准情景无法实现碳达峰目标且大气污染物持续增排至2045年左右，低碳与中和情景分别在2029年(534.78×106 t)和2025(492.45×106 t)实现碳达峰，且中和情景2060年温室气体排放量降至200×106 t以下，其大气污染物排放于2030年前后进入阶梯式下降阶段，温室气体与大气污染物在排放上具有相关性，在减排上具有协同性；相较基准情景，两种优化情景可使大气污染物排放提前15～20 a进入协同减排阶段，且以...,2025-11-03 14:12:05
减污降碳双约束下江苏省电力行业清洁低碳转型路径,孙波;张业顺;滕敏敏,环境科学,2025-10-13 16:20,https://kns.cnki.net/kcms2/article/abstract?v=-NKfxA6wmaF63mRcVBExDuxvthKu9Yo-ZSclWbYO2Psn3nSIzZ0_zeoCyrSfxBP4DIJ31hTWsqSma27wcqJtVVl3o50Dw-q_U0sYcs6v7NS4yCoIC3q-JcIUdtypFjqE6sLQoiEgng7IjRnEIJHDI1i4__3DV41YKMRug9I9nFAn1PUvSnbV1A==&uniplatform=NZKPT&language=CHS,在经济快速发展的背景下，江苏省面临改善生态环境质量与实现碳达峰碳中和的双重战略任务，电力行业作为主要碳排放和污染物排放源，其清洁低碳转型至关重要。选取江苏省为研究对象，以2025～2060年为时间区间，在基准政策情景（BAU）和两种政策加强情景（STE1、STE2）下，以电力供给总成本最小为目标，在满足减污降碳双约束条件下，构建目标规划模型，通过优化发电结构寻求电力行业最优转型路径。结果表明：①不同情景下的电力供给成本演化呈现显著差异，BAU情景的总成本最低；STE2情景最高，主要表现在末端成本高，减排进程缓慢；STE1情景前期成本高但后期回落，清洁能源占比高。②能源结构差异特征凸显，BAU情景煤电占比平缓降至2.41%，形成传统与清洁能源协同过渡格局；STE1情景清洁能源占比超65%，但系统稳定性面临挑战；STE2情景煤电保留23.8%，能够维持供电韧性，但清洁能源占比较低。③煤电退出速度与碳捕集成本呈负相关。BAU情景煤电平缓淘汰，碳捕集成本居中；STE1情景煤电快速淘汰，碳捕集成本基本归零；STE2情景延缓煤电退出，碳捕集成本最高。研究结果可为推动江苏省电力行业清洁低碳转型提供科...,2025-11-03 14:12:19
基于机器学习的道路移动源减污降碳路径研究,彭林;董佳奇;杨世杰;闫雨龙;吕昕,北京交通大学学报,2025-10-11 09:55,https://kns.cnki.net/kcms2/article/abstract?v=-NKfxA6wmaF63mRcVBExDuxvthKu9Yo-ZlUoncY2i7N1DeWEW7Z8wvzp76RD5UtxurbLIQAMhHXSW8pB1ocuCyhc5M-w_AGzLpJp55UjJXB-J53ygi_PnI6n_onsjujPHKQMa5wTvNnYBQ5Ws_q7AJSgksSSMZF4E_xjBG9fISczIIjtaq5rEg==&uniplatform=NZKPT&language=CHS,针对当前我国道路移动源污染物与碳排放特征时空异质、模式多样化所带来的精准治理挑战，通过机器学习方法构建道路移动源污染物与碳排放特征、驱动因素及减排路径研究框架.首先，集成多源数据信息构建交通-碳-环境数据集，分析道路移动源污染物与碳排放的时空分布特征；然后，建立多元知识约束的非负矩阵分解模型，识别污染物与碳排放模式及其驱动因素；最后，建立多模式集成的多元线性回归模型，分析有效的减污降碳路径.研究结果表明：近年来道路移动源排放颗粒物呈减少趋势，碳排放持续增长，且NOx、CO和VOCs排放仍显著；目前我国道路移动源污碳排放存在3种主要模式，碳-颗粒物减排模式分布在边境和沿海，受公路客运、货运及公路行驶里程影响（37.2%），污染物减排模式分布在北京市、天津市、广东省等，受交通生产总值影响（30.1%），碳-氮氧化物污染模式分布在中西部，受铁路及其电气化、小型运输载具等多因素影响（23.6%）；通过分析减排路径可知，加快交通运输行业经济发展对减排最显著，至多使CO2与NOx减排6.7%和4.5%，加快交通能源结构调整、减少公路...,2025-11-03 14:12:37
